dialogue time.chunk time rule.reps word.reps letter.reps rule.total word.total letter.total score
q1ec3 180 181.2227 86 44 142 147 147 574 74
q1ec3 190 190.5275 92 49 148 153 153 585 74
q1ec3 200 202.1072 105 55 166 169 169 647 74
q1ec3 210 210.0909 109 59 170 175 175 658 74
q1ec3 220 224.3437 117 63 174 184 184 678 74
q1ec3 230 231.061 123 66 183 193 193 705 74
q1ec3 240 246.761 127 67 184 199 199 722 74
q1ec3 250 252.535 129 68 186 201 201 736 74
q1ec3 260 262.6091 136 70 188 209 209 762 74
q1ec3 270 270.5257 158 84 211 234 234 817 74
q1ec3 280 282.0869 184 93 242 264 264 944 74
q1ec3 290 290.9657 189 98 254 271 271 970 74
q1ec3 300 300.1188 190 98 254 272 272 972 74
q1ec3 310 310.3642 194 101 261 277 277 983 74
q1ec3 320 320.0048 206 104 268 291 291 1043 74
q1ec3 330 330.1728 212 107 275 299 299 1072 74
q1ec3 340 340.1926 243 118 306 333 333 1211 74
q1ec3 350 350.6784 252 124 320 342 342 1236 74
q1ec3 360 360.914 266 126 323 358 358 1287 74
q1ec3 370 374.0036 275 131 332 372 372 1327 74
q1ec3 380 387.7865 277 131 332 374 374 1332 74
q1ec3 390 390.4414 281 132 333 378 378 1347 74
q1ec3 400 400.051 292 137 349 390 390 1398 74
q1ec3 410 421.6477 295 138 352 393 393 1413 74
q1ec3 420 421.842 296 139 353 394 394 1414 74
q1ec3 430 430.2766 316 145 381 417 417 1507 74
q1ec3 440 441.1432 335 158 404 437 437 1551 74
q1ec3 450 450.4528 353 163 410 457 457 1617 74
q1ec3 460 474.8616 360 167 415 464 464 1629 74
q1ec3 470 474.8616 361 167 415 465 465 1633 74
q1ec3 480 482.8578 374 171 427 478 478 1675 74
q1ec3 490 490.7295 379 175 433 483 483 1687 74
q1ec3 -1 491.4261 383 177 436 488 488 1700 74
q1ec4 10 11.0013 0 0 0 3 3 12 152
q1ec4 20 22.3189 0 1 1 8 8 36 152
q1ec4 30 36.782 0 1 1 9 9 39 152
q1ec4 40 40.4183 3 2 2 15 15 49 152
q1ec4 50 51.5382 4 3 3 17 17 56 152
q1ec4 60 62.4811 4 3 3 18 18 60 152
q1ec4 70 73.9262 6 6 10 25 25 76 152
q1ec4 80 82.9368 6 6 10 26 26 82 152
q1ec4 90 90.5973 9 7 15 32 32 102 152
q1ec4 100 100.1865 12 9 17 39 39 133 152
q1ec4 110 110.6555 20 12 27 54 54 190 152
q1ec4 120 121.4559 31 18 35 70 70 220 152
q1ec4 130 130.7908 35 20 37 74 74 224 152
q1ec4 140 140.4941 36 21 38 75 75 225 152
q1ec4 150 152.3452 38 23 40 77 77 227 152
q1ec4 160 160.2635 39 24 41 78 78 228 152
q1ec4 170 170.0296 40 25 42 79 79 229 152
q1ec4 180 181.0244 42 27 44 81 81 231 152
q1ec4 190 190.7609 43 27 44 82 82 234 152
q1ec4 200 200.2007 44 27 44 83 83 236 152
q1ec4 210 210.6884 56 38 62 101 101 277 152
q1ec4 -1 216.5942 61 42 66 110 110 290 152
q1ec5 10 10.4546 3 3 12 17 17 60 105
q1ec5 20 21.2879 11 9 28 36 36 135 105
q1ec5 30 30.7041 29 21 56 65 65 212 105
q1ec5 40 40.9651 34 23 58 72 72 231 105
q1ec5 50 50.4389 46 27 66 87 87 284 105
q1ec5 60 60.3236 57 35 86 99 99 325 105
q1ec5 70 70.056 85 52 136 137 137 450 105
q1ec5 80 80.308 107 61 164 165 165 572 105
q1ec5 90 90.0791 135 81 209 203 203 669 105
q1ec5 100 100.8465 160 92 240 235 235 764 105
q1ec5 110 114.1338 175 99 253 250 250 808 105
q1ec5 120 120.4315 200 111 295 281 281 976 105
q1ec5 130 130.6028 221 124 322 305 305 1036 105
q1ec5 140 140.4743 239 131 333 325 325 1113 105
q1ec5 150 150.0667 260 142 367 347 347 1194 105
q1ec5 160 160.9453 297 158 402 387 387 1369 105
q1ec5 170 170.0659 314 170 439 407 407 1450 105
q1ec5 180 181.6503 351 194 494 448 448 1595 105
q1ec5 190 190.3591 372 204 533 470 470 1727 105
q1ec5 200 200.1154 394 212 543 495 495 1848 105
q1ec5 210 210.5559 407 219 557 511 511 1911 105
q1ec5 220 222.4407 438 238 622 546 546 2139 105
q1ec5 230 230.3788 446 241 638 556 556 2224 105
q1ec5 240 240.081 468 257 668 583 583 2303 105
q1ec5 250 250.9044 492 267 697 610 610 2427 105
q1ec5 260 261.0746 512 278 718 630 630 2474 105
q1ec5 270 272.2529 536 288 753 655 655 2619 105
q1ec5 280 281.1826 558 300 778 680 680 2705 105
q1ec5 290 290.1911 569 307 792 692 692 2747 105
q1ec5 300 301.4031 597 324 831 722 722 2859 105
q1ec5 310 311.2023 619 333 854 745 745 2952 105
q1ec5 320 321.0222 642 345 899 769 769 3093 105
q1ec5 330 330.6522 649 350 907 777 777 3108 105
q1ec5 340 340.096 668 360 930 802 802 3209 105
q1ec5 350 350.3238 683 370 951 817 817 3254 105
q1ec5 360 360.4966 702 376 969 839 839 3430 105
q1ec5 -1 364.3356 711 381 974 848 848 3450 105
q1ec6 10 10.1213 0 0 0 3 3 6 53
q1ec6 20 20.4654 1 0 0 5 5 11 53
q1ec6 30 33.1621 4 2 4 19 19 59 53
q1ec6 40 41.1726 8 7 11 33 33 105 53
q1ec6 50 50.2899 10 7 11 37 37 114 53
q1ec6 60 60.6522 11 8 13 38 38 116 53
q1ec6 70 70.0133 15 13 19 46 46 126 53
q1ec6 80 80.7576 18 15 21 49 49 129 53
q1ec6 90 90.1247 26 19 36 61 61 172 53
q1ec6 100 101.0576 37 26 61 79 79 239 53
q1ec6 110 110.2177 44 32 67 89 89 253 53
q1ec6 120 125.2061 47 33 69 92 92 275 53
q1ec6 130 131.4212 49 33 69 94 94 279 53
q1ec6 140 141.9952 54 35 73 100 100 293 53
q1ec6 150 151.0023 57 36 75 105 105 306 53
q1ec6 -1 154.4469 59 36 75 108 108 311 53
q1ec7 10 12.416 2 1 1 4 4 8 104
q1ec7 20 24.613 3 1 1 6 6 13 104
q1ec7 30 37.8294 6 3 6 21 21 76 104
q1ec7 40 40.667 9 4 8 27 27 102 104
q1ec7 50 51.2582 12 5 9 30 30 110 104
q1ec7 60 61.8446 18 10 24 43 43 149 104
q1ec7 70 72.9438 24 17 46 53 53 189 104
q1ec7 80 80.0803 24 17 46 54 54 191 104
q1ec7 90 90.5138 34 23 57 71 71 242 104
q1ec7 100 102.6087 37 25 61 76 76 253 104
q1ec7 110 115.5287 38 25 61 77 77 256 104
q1ec7 120 126.7243 44 26 62 88 88 292 104
q1ec7 130 133.0896 51 29 84 99 99 340 104
q1ec7 140 140.1228 53 31 86 101 101 342 104
q1ec7 150 153.1966 69 43 108 118 118 386 104
q1ec7 160 161.3769 72 46 111 121 121 389 104
q1ec7 170 178.582 81 50 115 133 133 426 104
q1ec7 180 187.6677 82 50 115 134 134 439 104
q1ec7 190 190.5056 91 53 122 145 145 495 104
q1ec7 200 203.7847 94 55 125 148 148 500 104
q1ec7 210 210.0494 100 59 135 158 158 545 104
q1ec7 220 225.2997 119 72 173 178 178 618 104
q1ec7 230 236.8218 121 74 175 181 181 624 104
q1ec7 240 240.2573 130 75 176 193 193 675 104
q1ec7 250 251.1387 151 88 198 218 218 732 104
q1ec7 260 265.2537 154 91 201 221 221 735 104
q1ec7 270 270.0429 155 92 202 222 222 736 104
q1ec7 280 280.0231 176 102 244 246 246 955 104
q1ec7 290 291.843 195 110 268 269 269 1048 104
q1ec7 300 302.7477 196 110 268 271 271 1057 104
q1ec7 310 321.6765 198 111 269 273 273 1062 104
q1ec7 320 322.7504 199 111 269 274 274 1064 104
q1ec7 330 331.4296 202 113 271 277 277 1068 104
q1ec7 340 343.335 209 117 276 284 284 1081 104
q1ec7 350 355.9717 212 119 278 288 288 1086 104
q1ec7 360 361.3768 214 120 279 290 290 1088 104
q1ec7 370 370.0939 223 124 289 299 299 1124 104
q1ec7 380 382.9694 253 137 330 330 330 1254 104
q1ec7 390 397.1674 257 138 331 335 335 1264 104
q1ec7 400 400.5871 259 140 337 340 340 1275 104
q1ec7 410 410.8893 270 145 345 356 356 1340 104
q1ec7 420 423.6166 283 155 357 370 370 1363 104
q1ec7 430 431.7012 284 156 358 372 372 1365 104
q1ec7 440 442.0027 284 156 358 373 373 1367 104
q1ec7 450 451.1298 303 165 379 395 395 1443 104
q1ec7 -1 451.6799 306 166 383 400 400 1454 104
q1ec8 10 10.1567 2 2 16 15 15 86 85
q1ec8 20 21.9484 10 6 31 36 36 176 85
q1ec8 30 30.1469 20 9 48 52 52 246 85
q1ec8 40 41.7526 32 11 50 72 72 337 85
q1ec8 50 51.5415 53 17 73 100 100 499 85
q1ec8 60 60.7378 61 21 80 111 111 543 85
q1ec8 70 70.0198 76 27 90 128 128 602 85
q1ec8 80 80.9157 111 42 120 168 168 735 85
q1ec8 90 90.5204 125 50 136 189 189 801 85
q1ec8 100 100.2932 140 58 151 205 205 854 85
q1ec8 110 110.5336 170 69 186 239 239 1010 85
q1ec8 120 124.5595 193 78 198 265 265 1109 85
q1ec8 130 130.317 197 80 200 269 269 1129 85
q1ec8 140 140.723 219 87 209 293 293 1239 85
q1ec8 150 151.9113 227 88 210 302 302 1258 85
q1ec8 160 161.3637 234 91 213 310 310 1276 85
q1ec8 170 170.0198 253 96 254 334 334 1420 85
q1ec8 180 182.7932 278 105 268 364 364 1558 85
q1ec8 190 190.0214 296 111 280 384 384 1646 85
q1ec8 200 202.6359 317 122 302 407 407 1704 85
q1ec8 210 210.4052 331 130 322 424 424 1767 85
q1ec8 220 220.574 352 139 341 449 449 1871 85
q1ec8 230 231.9245 366 143 347 464 464 1945 85
q1ec8 240 243.2184 387 154 373 486 486 2023 85
q1ec8 -1 243.3913 388 155 374 487 487 2024 85
q1nc1 10 11.5085 5 3 5 19 19 85 78
q1nc1 20 21.1369 14 6 12 39 39 146 78
q1nc1 30 30.0728 34 19 43 73 73 260 78
q1nc1 40 40.5734 74 40 110 122 122 510 78
q1nc1 50 51.0588 106 53 142 161 161 631 78
q1nc1 60 61.3664 151 76 181 216 216 805 78
q1nc1 70 71.0904 170 84 194 239 239 871 78
q1nc1 80 80.0586 214 104 230 291 291 1068 78
q1nc1 90 91.5243 240 113 252 325 325 1177 78
q1nc1 100 100.0044 302 143 315 391 391 1404 78
q1nc1 110 110.9184 338 161 350 430 430 1560 78
q1nc1 120 120.5578 375 175 372 474 474 1766 78
q1nc1 130 130.0213 410 194 401 512 512 1893 78
q1nc1 140 140.4189 450 208 454 553 553 2072 78
q1nc1 150 150.4677 486 230 510 595 595 2307 78
q1nc1 160 160.0628 528 252 566 640 640 2453 78
q1nc1 170 170.1077 570 271 612 690 690 2649 78
q1nc1 180 180.4123 598 285 634 721 721 2729 78
q1nc1 190 190.7081 629 297 657 754 754 2843 78
q1nc1 200 200.3707 673 324 714 802 802 2993 78
q1nc1 210 210.2194 713 338 763 844 844 3235 78
q1nc1 220 220.3626 747 356 795 881 881 3349 78
q1nc1 230 230.6865 799 376 841 938 938 3551 78
q1nc1 240 240.0247 825 393 876 966 966 3635 78
q1nc1 250 250.058 868 415 928 1011 1011 3823 78
q1nc1 260 260.143 908 434 984 1052 1052 4041 78
q1nc1 270 270.0433 939 450 1021 1083 1083 4150 78
q1nc1 280 280.3475 986 474 1084 1133 1133 4395 78
q1nc1 290 290.1164 1015 489 1116 1163 1163 4505 78
q1nc1 300 300.1014 1066 509 1182 1217 1217 4812 78
q1nc1 310 310.1679 1094 527 1234 1249 1249 4953 78
q1nc1 320 320.0185 1137 548 1282 1293 1293 5108 78
q1nc1 330 330.6481 1172 562 1313 1332 1332 5246 78
q1nc1 340 340.9791 1233 597 1391 1394 1394 5470 78
q1nc1 350 350.4272 1262 613 1428 1425 1425 5578 78
q1nc1 360 360.1452 1288 634 1469 1451 1451 5637 78
q1nc1 370 370.7995 1336 658 1549 1501 1501 5910 78
q1nc1 380 383.8019 1362 674 1593 1527 1527 5999 78
q1nc1 390 390.128 1397 692 1643 1570 1570 6174 78
q1nc1 400 400.92 1444 719 1706 1621 1621 6370 78
q1nc1 410 410.0981 1468 735 1754 1646 1646 6490 78
q1nc1 420 420.1562 1499 756 1806 1682 1682 6605 78
q1nc1 430 430.0881 1543 782 1860 1731 1731 6756 78
q1nc1 440 440.4648 1594 805 1896 1784 1784 6937 78
q1nc1 450 450.0336 1623 820 1924 1813 1813 7025 78
q1nc1 460 460.7584 1667 843 1979 1858 1858 7241 78
q1nc1 470 470.5075 1710 864 2023 1906 1906 7444 78
q1nc1 480 480.0675 1743 886 2078 1941 1941 7570 78
q1nc1 490 490.1529 1800 919 2145 2002 2002 7760 78
q1nc1 500 501.4877 1844 948 2209 2048 2048 7958 78
q1nc1 510 510.0365 1873 964 2242 2079 2079 8066 78
q1nc1 520 520.4521 1913 986 2309 2123 2123 8321 78
q1nc1 530 530.01 1964 1011 2359 2176 2176 8511 78
q1nc1 540 540.0482 2004 1038 2440 2216 2216 8645 78
q1nc1 550 550.241 2054 1068 2512 2269 2269 8892 78
q1nc1 560 560.0964 2092 1090 2547 2308 2308 9003 78
q1nc1 570 570.4564 2139 1115 2595 2355 2355 9176 78
q1nc1 580 580.9541 2170 1128 2619 2386 2386 9290 78
q1nc1 590 590.261 2204 1145 2670 2420 2420 9476 78
q1nc1 600 600.0464 2230 1163 2702 2447 2447 9549 78
q1nc1 610 610.0399 2252 1175 2726 2471 2471 9616 78
q1nc1 620 620.1014 2307 1207 2795 2526 2526 9807 78
q1nc1 630 630.2055 2347 1224 2855 2566 2566 9993 78
q1nc1 640 642.0045 2398 1250 2909 2618 2618 10179 78
q1nc1 650 651.5998 2418 1261 2931 2639 2639 10232 78
q1nc1 660 660.1679 2444 1277 2955 2667 2667 10305 78
q1nc1 670 670.4281 2473 1290 2981 2697 2697 10412 78
q1nc1 680 682.0038 2502 1305 3010 2726 2726 10492 78
q1nc1 690 690.379 2538 1327 3055 2764 2764 10626 78
q1nc1 700 700.0962 2601 1359 3145 2830 2830 10881 78
q1nc1 710 710.092 2650 1377 3176 2884 2884 11079 78
q1nc1 720 720.0689 2685 1401 3226 2920 2920 11183 78
q1nc1 730 730.1386 2726 1432 3300 2962 2962 11330 78
q1nc1 740 740.1492 2773 1461 3345 3011 3011 11454 78
q1nc1 750 750.1712 2824 1491 3404 3065 3065 11664 78
q1nc1 760 760.0176 2874 1517 3465 3116 3116 11845 78
q1nc1 770 770.2614 2927 1545 3514 3171 3171 12021 78
q1nc1 780 781.0045 2991 1581 3568 3235 3235 12191 78
q1nc1 790 790.332 3032 1605 3629 3277 3277 12335 78
q1nc1 800 800.0076 3089 1638 3712 3334 3334 12541 78
q1nc1 810 810.2726 3148 1667 3769 3393 3393 12746 78
q1nc1 820 820.7344 3182 1686 3823 3429 3429 12951 78
q1nc1 830 831.3535 3202 1697 3850 3450 3450 13015 78
q1nc1 840 840.0241 3230 1709 3877 3478 3478 13128 78
q1nc1 850 850.0979 3270 1730 3932 3520 3520 13331 78
q1nc1 860 860.044 3305 1752 3984 3557 3557 13472 78
q1nc1 870 870.6027 3340 1772 4020 3596 3596 13568 78
q1nc1 880 880.7744 3393 1803 4086 3649 3649 13727 78
q1nc1 890 890.617 3426 1825 4141 3682 3682 13827 78
q1nc1 900 900.2707 3461 1846 4205 3720 3720 13998 78
q1nc1 910 910.3726 3513 1875 4265 3772 3772 14155 78
q1nc1 920 920.8403 3561 1902 4325 3822 3822 14329 78
q1nc1 930 930.0493 3606 1933 4389 3867 3867 14461 78
q1nc1 940 941.0244 3655 1961 4450 3917 3917 14660 78
q1nc1 950 950.0381 3688 1982 4482 3952 3952 14756 78
q1nc1 960 960.8877 3732 2008 4534 3999 3999 14905 78
q1nc1 970 971.2009 3795 2043 4607 4064 4064 15113 78
q1nc1 980 980.0861 3833 2068 4646 4102 4102 15197 78
q1nc1 990 990.9579 3857 2086 4677 4127 4127 15255 78
q1nc1 1000 1000.3228 3911 2118 4737 4183 4183 15409 78
q1nc1 1010 1010.282 3960 2147 4795 4233 4233 15570 78
q1nc1 1020 1020.0598 3990 2166 4834 4264 4264 15658 78
q1nc1 1030 1030.1607 4022 2183 4883 4297 4297 15836 78
q1nc1 1040 1041.0545 4064 2210 4939 4340 4340 15976 78
q1nc1 1050 1050.137 4103 2231 4991 4379 4379 16121 78
q1nc1 1060 1060.11 4140 2251 5040 4416 4416 16244 78
q1nc1 1070 1070.0434 4190 2287 5135 4466 4466 16464 78
q1nc1 1080 1080.1999 4249 2321 5208 4525 4525 16701 78
q1nc1 1090 1090.4343 4299 2347 5305 4575 4575 16970 78
q1nc1 1100 1100.0632 4360 2384 5383 4637 4637 17234 78
q1nc1 1110 1110.3216 4388 2404 5421 4665 4665 17303 78
q1nc1 -1 1111.3044 4398 2410 5427 4675 4675 17316 78
q1nc2 10 10.4362 5 4 5 30 30 106 204
q1nc2 20 21.4647 31 18 34 73 73 291 204
q1nc2 30 30.6156 44 20 58 95 95 416 204
q1nc2 40 40.1841 56 28 71 114 114 496 204
q1nc2 50 50.193 75 37 112 135 135 619 204
q1nc2 60 61.0296 90 46 147 153 153 707 204
q1nc2 70 70.5037 112 54 171 180 180 848 204
q1nc2 80 80.1022 137 67 208 209 209 954 204
q1nc2 90 90.1647 164 83 243 237 237 1071 204
q1nc2 100 101.3679 193 97 280 268 268 1175 204
q1nc2 110 110.1161 210 103 294 290 290 1281 204
q1nc2 120 121.2904 222 106 299 303 303 1310 204
q1nc2 130 130.0601 229 110 315 316 316 1362 204
q1nc2 140 140.0757 248 118 327 342 342 1437 204
q1nc2 150 150.3874 257 120 329 353 353 1479 204
q1nc2 160 161.7881 291 135 388 389 389 1633 204
q1nc2 170 170.2946 315 146 413 417 417 1755 204
q1nc2 180 180.0637 331 150 422 433 433 1809 204
q1nc2 190 190.2244 338 155 438 441 441 1837 204
q1nc2 200 200.1492 360 164 460 467 467 1991 204
q1nc2 210 210.4627 382 175 477 493 493 2133 204
q1nc2 220 220.3591 404 183 487 515 515 2202 204
q1nc2 230 230.0543 424 194 521 536 536 2307 204
q1nc2 240 240.1475 453 206 540 569 569 2409 204
q1nc2 250 251.887 474 215 557 594 594 2468 204
q1nc2 260 260.5322 489 225 571 616 616 2519 204
q1nc2 270 271.2554 508 235 594 639 639 2589 204
q1nc2 280 281.2907 536 249 623 669 669 2703 204
q1nc2 290 290.2544 568 269 680 704 704 2887 204
q1nc2 300 300.1292 590 279 697 728 728 2965 204
q1nc2 310 310.5555 626 304 744 765 765 3058 204
q1nc2 320 323.6689 647 318 772 787 787 3121 204
q1nc2 330 330.2609 658 322 783 800 800 3193 204
q1nc2 340 340.5054 676 329 793 819 819 3331 204
q1nc2 350 350.3 712 342 822 860 860 3526 204
q1nc2 360 361.9505 718 346 828 867 867 3538 204
q1nc2 370 370.1559 752 359 851 904 904 3680 204
q1nc2 380 380.8071 764 363 860 920 920 3740 204
q1nc2 390 390.4266 786 373 874 945 945 3894 204
q1nc2 400 400.3592 809 383 901 970 970 3983 204
q1nc2 410 410.8967 827 394 937 988 988 4069 204
q1nc2 420 420.4315 848 407 967 1010 1010 4133 204
q1nc2 430 431.5858 883 421 991 1051 1051 4264 204
q1nc2 440 440.1984 907 434 1023 1076 1076 4365 204
q1nc2 450 450.2774 919 441 1031 1089 1089 4410 204
q1nc2 460 460.2695 970 471 1126 1141 1141 4679 204
q1nc2 470 470.124 1005 490 1151 1178 1178 4763 204
q1nc2 480 480.0537 1018 496 1165 1193 1193 4827 204
q1nc2 490 490.6929 1046 505 1186 1222 1222 4937 204
q1nc2 500 500.317 1057 511 1197 1234 1234 4966 204
q1nc2 510 510.7778 1078 518 1207 1255 1255 5071 204
q1nc2 520 520.745 1109 536 1247 1288 1288 5163 204
q1nc2 530 530.0074 1125 546 1268 1305 1305 5213 204
q1nc2 540 540.0214 1145 554 1282 1326 1326 5301 204
q1nc2 550 550.3136 1157 562 1295 1339 1339 5347 204
q1nc2 560 560.065 1182 574 1322 1369 1369 5474 204
q1nc2 570 570.1722 1212 592 1379 1399 1399 5597 204
q1nc2 580 580.6303 1235 605 1401 1425 1425 5690 204
q1nc2 590 591.2268 1258 615 1415 1448 1448 5776 204
q1nc2 600 600.0843 1276 619 1422 1466 1466 5836 204
q1nc2 610 610.1543 1299 630 1452 1491 1491 5920 204
q1nc2 620 621.2544 1314 639 1463 1507 1507 5942 204
q1nc2 630 630.0371 1347 658 1497 1543 1543 6088 204
q1nc2 640 640.5056 1369 673 1523 1567 1567 6220 204
q1nc2 650 650.1175 1389 683 1538 1587 1587 6291 204
q1nc2 660 661.1015 1411 695 1560 1613 1613 6420 204
q1nc2 670 670.3039 1431 706 1578 1635 1635 6516 204
q1nc2 680 680.1622 1452 718 1602 1659 1659 6606 204
q1nc2 690 691.431 1500 746 1660 1710 1710 6791 204
q1nc2 700 700.2088 1526 755 1674 1736 1736 6910 204
q1nc2 710 710.5323 1554 775 1708 1766 1766 6979 204
q1nc2 720 721.1593 1581 792 1735 1795 1795 7065 204
q1nc2 730 730.3842 1603 802 1757 1817 1817 7147 204
q1nc2 740 740.6928 1627 817 1778 1843 1843 7218 204
q1nc2 750 750.0077 1662 835 1814 1881 1881 7385 204
q1nc2 760 760.1124 1682 845 1866 1903 1903 7542 204
q1nc2 770 770.4622 1719 864 1908 1942 1942 7696 204
q1nc2 780 780.0384 1736 871 1919 1960 1960 7742 204
q1nc2 790 790.5745 1762 886 1945 1986 1986 7811 204
q1nc2 800 800.2294 1804 908 1984 2029 2029 7930 204
q1nc2 810 810.3455 1839 927 2012 2065 2065 8010 204
q1nc2 820 820.4804 1872 950 2068 2099 2099 8114 204
q1nc2 830 830.4376 1881 956 2075 2111 2111 8149 204
q1nc2 840 842.6448 1905 967 2093 2137 2137 8271 204
q1nc2 850 850.1283 1916 972 2113 2150 2150 8394 204
q1nc2 860 860.6571 1946 987 2154 2182 2182 8550 204
q1nc2 870 870.3616 1967 997 2173 2204 2204 8618 204
q1nc2 880 880.0986 2000 1017 2203 2238 2238 8727 204
q1nc2 890 890.9793 2015 1026 2225 2253 2253 8808 204
q1nc2 900 900.6405 2034 1031 2230 2274 2274 8879 204
q1nc2 910 910.2745 2051 1041 2244 2292 2292 8937 204
q1nc2 920 920.1326 2074 1055 2279 2315 2315 9031 204
q1nc2 -1 926.0735 2088 1065 2298 2329 2329 9063 204
q1nc3 10 13.6104 3 3 7 15 15 36 40
q1nc3 20 20.7402 10 5 9 32 32 88 40
q1nc3 30 31.4339 21 10 16 52 52 138 40
q1nc3 40 41.3431 40 18 28 73 73 199 40
q1nc3 50 50.0939 49 21 32 88 88 248 40
q1nc3 60 63.3708 64 28 41 106 106 292 40
q1nc3 70 70.8217 70 32 53 114 114 316 40
q1nc3 80 82.8538 84 40 63 136 136 406 40
q1nc3 90 90.2607 94 49 78 146 146 422 40
q1nc3 100 101.0824 105 52 81 159 159 460 40
q1nc3 110 113.1215 127 61 102 182 182 527 40
q1nc3 120 122.933 138 65 107 193 193 546 40
q1nc3 130 130.6099 150 70 112 206 206 576 40
q1nc3 140 140.3655 168 81 128 228 228 625 40
q1nc3 150 151.7714 176 86 137 236 236 642 40
q1nc3 160 160.142 186 91 142 249 249 665 40
q1nc3 170 172.6327 192 94 149 258 258 698 40
q1nc3 180 180.561 200 98 154 270 270 748 40
q1nc3 190 191.1924 234 118 193 310 310 871 40
q1nc3 200 202.5178 249 125 201 326 326 929 40
